company_name,category,group,rating,num_ratings
Quality Carriers,Veteran status,★ Non-Veterans,3.6,41
Quality Carriers,Veteran status,★ Veterans,3.3,6
U.S. Xpress,Race / Ethnicity,★ Asian,3.7,12
U.S. Xpress,Race / Ethnicity,★ Black or African American,2.9,39
U.S. Xpress,Race / Ethnicity,★ Hispanic or Latinx,3.3,15
U.S. Xpress,Race / Ethnicity,★ Indigenous American or Alaska Native,1.6,5
U.S. Xpress,Gender,★ Men,3.1,137
U.S. Xpress,Gender,★ Women,3.0,58
U.S. Xpress,Sexual orientation,★ Heterosexual,3.2,159
U.S. Xpress,Sexual orientation,★ LGBTQ+,2.1,16
U.S. Xpress,Disability,★ People without disabilities,3.1,162
U.S. Xpress,Disability,★ People with disabilities,2.8,22
U.S. Xpress,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 2.6 ★ Caregivers 7 ratings 3.2 ★ Not a Parent or Caregiver 113 ratings 3.1 ★ Parents/Guardians,,61
U.S. Xpress,Parent or family caregiver,★ Caregivers,2.6,7
U.S. Xpress,Parent or family caregiver,★ Not a Parent or Caregiver,3.2,113
U.S. Xpress,Parent or family caregiver,★ Parents/Guardians,3.1,61
U.S. Xpress,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.1 ★ Non-Veterans 154 ratings 2.3 ★ Veterans,,36
U.S. Xpress,Veteran status,★ Non-Veterans,3.1,154
U.S. Xpress,Veteran status,★ Veterans,2.3,36
State of Vermont,Race / Ethnicity,★ White,3.8,50
State of Vermont,Race / Ethnicity,Asian,,0
State of Vermont,Race / Ethnicity,Black or African American,,0
State of Vermont,Race / Ethnicity,Hispanic or Latinx,,0
State of Vermont,Gender,★ Men,4.2,19
State of Vermont,Gender,★ Women,3.6,35
State of Vermont,Sexual orientation,★ Heterosexual,3.8,44
State of Vermont,Sexual orientation,★ LGBTQ+,2.5,7
State of Vermont,Disability,★ People without disabilities,3.7,39
State of Vermont,Disability,★ People with disabilities,3.5,13
State of Vermont,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 3.7 ★ Not a Parent or Caregiver 27 ratings 3.5 ★ Parents/Guardians 24 ratings - ★ Caregivers,,0
State of Vermont,Parent or family caregiver,★ Not a Parent or Caregiver,3.7,27
State of Vermont,Parent or family caregiver,★ Parents/Guardians,3.5,24
State of Vermont,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.7 ★ Non-Veterans 47 ratings 2.7 ★ Veterans,,5
State of Vermont,Veteran status,★ Non-Veterans,3.7,47
State of Vermont,Veteran status,★ Veterans,2.7,5
State of Arizona,Race / Ethnicity,★ Asian,3.5,6
State of Arizona,Race / Ethnicity,★ Black or African American,2.1,19
State of Arizona,Race / Ethnicity,★ Hispanic or Latinx,4.4,21
State of Arizona,Race / Ethnicity,★ Indigenous American or Alaska Native,3.3,8
State of Arizona,Gender,★ Men,3.3,33
State of Arizona,Gender,★ Women,3.5,82
State of Arizona,Sexual orientation,★ Heterosexual,3.3,112
State of Arizona,Sexual orientation,★ LGBTQ+,3.4,11
State of Arizona,Disability,★ People without disabilities,3.1,102
State of Arizona,Disability,★ People with disabilities,4.1,19
State of Arizona,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 3.6 ★ Caregivers 6 ratings 3.0 ★ Not a Parent or Caregiver 71 ratings 3.4 ★ Parents/Guardians,,37
State of Arizona,Parent or family caregiver,★ Caregivers,3.6,6
State of Arizona,Parent or family caregiver,★ Not a Parent or Caregiver,3.0,71
State of Arizona,Parent or family caregiver,★ Parents/Guardians,3.4,37
State of Arizona,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.1 ★ Non-Veterans 109 ratings 3.8 ★ Veterans,,19
State of Arizona,Veteran status,★ Non-Veterans,3.1,109
State of Arizona,Veteran status,★ Veterans,3.8,19
Walmart,Race / Ethnicity,★ Indigenous American or Alaska Native,3.3,902
Walmart,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 3.3 ★ Caregivers 810 ratings 3.3 ★ Not a Parent or Caregiver 18K ratings 3.2 ★ Parents/Guardians,,6
Walmart,Parent or family caregiver,★ Caregivers,3.3,810
Walmart,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.3 ★ Non-Veterans 21K ratings 3.4 ★ Veterans,,1
