company_name,page,job_title,pay_range,min,max,per,num_salaries
Weber School District,1,Teacher,$55K - $77K /yr,55000,77000,yr,44
Widefield School District 3,1,Teacher,$59K - $85K /yr,59000,85000,yr,21
St Vrain Valley School District,1,Teacher,$58K - $84K /yr,58000,84000,yr,63
Pioneer Technology & Arts Academy,1,Teacher,$41K - $61K /yr,41000,61000,yr,20
Mesa Public Schools,1,Teacher,$53K - $70K /yr,53000,70000,yr,173
College Achieve Public Schools,1,Teacher,$49K - $68K /yr,49000,68000,yr,54
LearnWell,1,Teacher,$50K - $75K /yr,50000,75000,yr,94
Kettering Health,1,Registered Nurse,$77K - $97K /yr,77000,97000,yr,211
Kettering Health,1,RN,$82K - $106K /yr,82000,106000,yr,2
Kettering Health,1,ER RN,$83K - $111K /yr,83000,111000,yr,1
Kettering Health,1,Nurse Practitioner,$119K - $156K /yr,119000,156000,yr,19
Fairview Health Services,1,Nurse,$76K - $104K /yr,76000,104000,yr,9
Fairview Health Services,1,ER Nurse,$81K - $108K /yr,81000,108000,yr,1
Avera Health,1,Registered Nurse,$77K - $94K /yr,77000,94000,yr,107
Avera Health,1,RN,$80K - $99K /yr,80000,99000,yr,1
BJC HealthCare,1,Nurse Practitioner,$114K - $145K /yr,114000,145000,yr,42
Indiana University Health,1,Nurse Practitioner,$120K - $157K /yr,120000,157000,yr,58
SSM Health,1,Nurse Practitioner,$114K - $146K /yr,114000,146000,yr,44
Quality Carriers,1,Driver,$44K - $63K /yr,44000,63000,yr,14
U.S. Xpress,1,Driver,$38K - $60K /yr,38000,60000,yr,88
State of Vermont,1,Correctional Officer,$52K - $69K /yr,52000,69000,yr,11
State of Vermont,1,Corrections Officer,$54K - $72K /yr,54000,72000,yr,2
State of Vermont,1,Correctional Officer I,$49K - $64K /yr,49000,64000,yr,1
State of Arizona,1,Correctional Officer,$53K - $70K /yr,53000,70000,yr,11
